Cluster,Month-to-month,One year,Two year
0,0.0,0.0,100.0
1,66.30054917623565,33.69945082376435,0.0
2,80.35625927758535,19.643740722414645,0.0
3,52.93255131964809,23.020527859237536,24.04692082111437
4,54.14258188824663,23.50674373795761,22.350674373795762
