Cluster,No,Yes
0,48.49884526558891,51.50115473441108
1,80.17973040439341,19.82026959560659
2,40.573973280554185,59.42602671944582
3,61.87683284457478,38.12316715542522
4,57.22543352601156,42.77456647398844
